GENDER,CUST_ACCOUNT_CNT,CUST_SAVING_AMT,CUST_ASSET_AMT,CUST_DEBT_AMT,CUST_ACCOUNT_OPEN_CNT,OCN,age,INV-OR
2,2,837.69,837.69,0,2,0,40,0
1,20,3121105.36,8709482.18,0,112,1,48,1
2,5,30091.65,30091.65,0,10,0,67,0
2,26,146057.67,527497.08,0,130,2,42,1
2,16,188565.1,258547.65,0,42,0,52,0
2,32,1407582.55,1900028.28,0,172,3,42,1
2,19,159602.36,371390.17,54285.79,78,4,43,1
1,14,745007.53,745007.53,0,54,8,84,0
2,47,205591.32,2289002.29,0,76,2,41,1
2,12,7223728.79,16707282,0,159,3,55,0
2,1,40291.23,40291.23,0,4,0,48,0
1,6,4355.94,1004355.94,0,8,3,47,0
2,2,2717.08,2717.08,0,3,4,73,0
2,1,282.91,282.91,197243.65,1,4,51,0
2,2,1487.41,1487.41,0,5,0,64,0
1,2,2234.97,2234.97,0,2,0,50,0
1,7,23173.56,23173.56,0,8,2,42,0
1,2,710753.2,710753.2,0,4,0,72,0
1,7,815651.52,1315984.36,0,7,2,49,0
1,22,558.49,558.49,0,27,0,38,0
2,4,21735.04,59251.07,0,14,0,56,1
1,7,1015.94,10101015.94,0,12,0,50,0
1,2,1210.66,103491.48,0,2,0,58,1
2,1,1638.99,1638.99,0,5,0,61,0
1,1,3098,3098,0,1,0,44,0
1,1,48633.61,48633.61,0,1,0,51,0
1,11,25970.99,48624.99,0,62,1,40,0
1,11,39344.81,39344.81,0,15,0,38,0
1,7,622.66,622.66,0,8,6,39,0
1,12,3002916.86,5382916.86,0,46,3,59,0
2,10,86831.21,86831.21,0,109,8,50,0
2,4,317520.83,317520.83,0,5,0,48,0
1,2,6437.7,6437.7,1301971.67,14,1,44,0
2,8,25423.04,25423.04,0,14,4,35,0
1,1,2.83,2.83,0,9,8,43,0
2,30,560868.5,560868.5,0,109,4,48,0
1,2,37002.42,37002.42,1750422.92,2,1,45,0
1,7,2063.25,2063.25,0,9,3,64,0
1,8,330476.89,330476.89,0,8,3,48,0
2,2,5743.59,5743.59,0,2,0,43,0
1,9,198406.77,198406.77,0,27,0,67,0
2,2,810.06,810.06,0,2,0,44,0
1,1,2076.18,2076.18,0,1,0,40,0
2,3,33357.02,33357.02,0,3,0,50,0
2,2,153.46,160953.8,0,5,0,44,1
2,21,284959.31,284959.31,0,71,8,51,0
1,6,120890.4,599572.76,0,20,4,40,1
2,39,1165947.28,1830245.8,1528574.17,132,8,47,1
1,26,1325342.68,3519911,0,193,3,50,1
1,3,2088.35,2088.35,0,3,0,58,0
2,10,253914.05,253914.05,0,49,3,60,0
2,4,13288.11,13288.11,3008775,4,1,47,0
2,19,2904508.25,2904508.25,17375457.66,89,3,41,0
1,3,687.42,687.42,0,3,0,48,0
1,7,21438.8,21438.8,0,7,1,55,0
2,15,282516.61,1385139.36,0,40,3,65,1
2,1,554.64,554.64,0,1,0,44,0
2,20,91507.15,91507.15,0,94,2,44,0
1,6,10023.1,10023.1,0,6,0,45,0
1,2,3000.59,3000.59,0,2,0,59,0
1,13,12418.55,320695.94,0,46,3,39,0
2,17,621718.84,621718.84,0,26,3,46,0
2,8,8118.25,777677.38,0,28,0,73,1
1,8,1475.32,1475.32,0,22,8,55,0
2,8,16741.44,191408.18,0,17,3,61,1
1,2,1975.72,1975.72,0,2,0,66,0
2,2,36713.83,36713.83,0,3,0,44,0
1,2,40469.53,40469.53,7728.98,2,0,60,0
2,1,631.42,631.42,0,4,0,55,0
1,11,103028.74,103028.74,0,13,2,50,0
2,7,33779.36,723174.85,0,67,3,60,1
2,12,2450771.25,3650771.25,0,33,3,53,0
1,5,154400.88,250457.17,0,6,4,41,1
1,12,77777.21,1463942.39,0,26,4,50,1
2,2,12312.65,12312.65,0,2,4,38,0
1,13,98020.05,199612.32,962360.52,17,2,49,0
2,9,709.99,303295.74,0,30,3,46,1
1,2,11899.87,11899.87,1006800,2,0,46,0
1,5,723774.34,4720339.14,0,5,0,48,1
1,4,7951.92,7951.92,0,7,8,51,0
2,36,10381451.26,10381451.26,0,75,3,54,0
2,2,2719.02,2719.02,0,3,3,49,0
2,5,580.57,580.57,0,5,0,50,0
2,4,37.71,313018.81,0,4,8,54,1
2,1,1493.83,164165.06,0,8,8,50,1
2,3,86.86,86.86,0,4,0,61,0
2,1,0,2915.77,0,1,0,49,0
2,7,10202.1,115309.16,0,14,0,72,1
2,2,1047.21,1047.21,0,4,0,56,0
2,3,30000.53,30000.53,0,11,0,69,0
1,31,57862.11,57862.11,0,31,8,73,0
2,1,8977.68,8977.68,0,1,0,82,0
2,4,49131.11,150870.08,0,7,8,62,1
1,1,1813.54,1813.54,0,1,0,62,0
2,38,379536.9,1184993.5,0,66,4,39,1
1,14,49055.62,49055.62,0,32,2,33,0
2,24,155006.7,155006.7,0,128,4,40,0
2,2,20196.56,20196.56,0,5,0,44,0
1,1,5545.41,5545.41,0,1,0,41,0
2,1,8863.3,85790.45,0,2,0,52,0
1,10,3269.06,3269.06,0,23,8,63,0
1,1,0.02,0.02,0,1,8,70,0
1,3,2074.13,2074.13,0,7,6,44,0
1,1,534.8,534.8,0,1,0,113,0
2,2,147048.13,147048.13,0,2,3,39,0
1,1,26363.02,479222.44,0,1,3,51,0
1,2,553.97,553.97,0,2,0,62,0
1,5,254328.13,1259227.86,0,64,0,50,1
1,2,1354.05,1354.05,0,2,0,65,0
2,4,573.02,53673.02,0,5,0,66,0
2,1,528.64,528.64,0,1,0,35,0
2,3,10637.6,624322.53,0,23,8,71,1
2,1,27353.4,27353.4,0,1,0,38,0
2,3,382.21,382.21,0,3,0,44,0
2,7,157002.68,157002.68,0,17,8,66,0
1,1,36705.87,36705.87,0,2,8,37,0
2,1,30429.87,30429.87,0,1,4,36,0
1,3,1330.83,1330.83,0,4,8,43,0
2,5,29.68,613103.15,0,9,8,35,1
2,2,15183.07,15183.07,0,2,0,39,0
1,6,161500.45,548266.61,0,6,0,42,1
1,9,2615.71,2615.71,0,15,8,50,0
1,1,53517.65,350754.48,0,1,3,51,1
2,2,3541.2,3541.2,0,3,8,44,0
1,1,15812.36,15812.36,0,1,0,35,0
1,1,2068.69,2068.69,0,1,8,36,0
2,1,30000,30000,0,1,0,46,0
2,3,1517.9,1517.9,0,3,0,43,0
2,2,824.66,824.66,0,2,8,53,0
1,2,9916.7,9916.7,0,7,0,39,0
2,1,3147.54,3147.54,0,1,0,35,0
1,1,17171.74,17171.74,0,1,6,42,0
1,1,437.18,437.18,352450,1,8,34,0
2,3,1377.24,1377.24,0,8,8,64,0
2,4,5729.51,107257.35,0,5,0,44,0
2,8,1513.97,47813.29,0,17,3,59,0
2,4,16002.15,86457.63,0,5,0,69,1
2,11,1337195.83,1337195.83,0,29,3,33,0
1,5,132562.97,132562.97,0,5,8,48,0
2,1,33666.06,40485.22,0,1,2,44,1
1,2,628.42,628.42,0,3,0,44,0
1,7,2127.04,2127.04,0,15,1,50,0
2,4,10207.99,10207.99,0,4,8,55,0
2,10,40279.71,301045.46,0,17,3,64,1
1,4,31164.9,31164.9,0,4,4,36,0
1,1,1956.98,1956.98,56972.34,1,2,32,0
1,4,17402.97,17402.97,0,5,4,53,0
2,1,18572.21,18572.21,0,4,0,70,0
1,8,77022.18,107022.18,0,19,8,66,0
2,3,487.32,487.32,0,14,4,41,0
1,1,5753.58,5753.58,0,1,8,61,0
1,7,166537.25,727531.44,0,27,4,50,1
1,11,756.15,347753.48,0,29,8,67,1
1,1,42.59,81191.63,0,1,0,63,1
2,0,15559.16,15559.16,0,2,3,45,0
1,7,37242.81,210422.75,0,9,8,63,1
2,2,6237.43,6237.43,258008.43,2,8,38,0
2,8,504200.43,504200.43,0,22,4,31,0
2,3,19779.34,19779.34,0,3,3,55,0
2,7,1483.24,43363.37,0,15,0,48,0
2,21,570879.7,1143554.44,194519.33,47,4,45,0
1,6,16003.1,16003.1,0,6,8,33,0
1,1,3681.83,3681.83,0,1,0,33,0
2,1,8550.96,8550.96,0,1,4,36,0
2,1,4792.16,4792.16,0,1,0,35,0
2,8,23801.44,70503.43,0,13,0,36,1
1,4,4155.44,4155.44,0,4,0,39,0
1,5,833999.72,833999.72,0,13,3,47,0
1,1,111085.26,111085.26,0,3,0,50,0
2,6,617094.6,617094.6,0,25,3,39,0
1,1,20195.4,20195.4,0,1,0,42,0
1,1,2513.46,2513.46,0,2,0,34,0
2,6,15671.19,15671.19,0,30,0,35,0
1,6,896.92,896.92,0,17,3,36,0
2,1,1169.94,1169.94,0,1,0,80,0
2,11,156285.02,156290.63,0,54,4,36,0
2,7,901.95,142108.64,0,8,8,53,1
2,3,406.56,406.56,0,3,0,41,0
2,1,1071.75,1071.75,0,1,0,55,0
1,2,2726.72,2726.72,0,2,4,45,0
2,2,844.51,844.51,0,8,8,43,0
1,3,10342.78,10342.78,0,3,0,53,0
1,1,803.02,803.02,0,2,0,58,0
2,6,38.3,38.3,0,6,0,46,0
1,5,32244.08,333049.97,0,9,8,57,1
2,2,947.13,947.13,0,2,0,40,0
2,1,2025.26,2025.26,0,1,0,44,0
2,5,78909.41,78909.41,0,7,0,55,0
2,2,240000,240000,0,3,0,45,0
2,2,8714.5,8714.5,0,17,0,54,0
2,4,13357.62,13357.62,0,4,0,59,0
1,2,744.22,53283.89,0,2,3,64,0
2,3,1276.97,61966.9,0,3,8,64,0
1,1,10590.09,10590.09,679087.56,1,8,38,0
1,1,820.57,820.57,0,1,0,47,0
1,1,30049.63,30049.63,0,1,8,50,0
1,6,100000.03,100000.03,0,11,8,30,0
2,1,0,18958.85,0,1,0,59,0
2,13,3790.26,88082.14,0,18,0,60,1
2,11,50344.58,321587.59,0,15,3,56,1
1,1,219.48,219.48,0,1,8,38,0
2,9,121.71,912088.12,0,16,8,60,1
2,1,5550.03,5550.03,0,1,6,51,0
2,1,1051.24,1051.24,0,1,0,50,0
2,3,225882.2,225882.2,0,12,3,54,0
2,5,546639.29,546639.29,0,28,0,63,0
2,6,30502.48,30502.48,0,32,3,44,0
2,3,67480.56,201330.46,0,13,8,68,1
2,3,4722.3,4722.3,0,7,3,62,0
1,2,1441.53,1441.53,0,2,3,44,0
2,6,39856.55,39856.55,0,8,3,40,0
2,7,2208.74,678552.03,0,14,0,45,1
1,1,8302.29,8302.29,0,1,8,61,0
2,4,283.47,283.47,0,5,0,73,0
1,5,334.44,3278.73,0,5,0,46,0
1,2,5285.51,5285.51,0,2,8,45,0
2,23,652117.13,907695.04,0,44,3,31,1
1,1,5377.25,5377.25,0,2,0,35,0
2,2,90000,90000,0,2,3,69,0
2,10,827.52,827.52,0,15,8,43,0
2,2,32801.75,32801.75,0,2,4,52,0
1,14,53045.93,116062.84,0,26,4,33,1
1,3,100084.9,100084.9,0,5,0,33,0
2,7,30513.51,90794.24,0,10,0,45,1
1,1,1821.62,1821.62,0,7,4,37,0
1,4,1750.31,1750.31,0,5,0,57,0
1,1,213.6,213.6,0,1,0,85,0
1,1,600.51,600.51,0,1,0,63,0
1,3,759.78,759.78,0,4,0,64,0
1,4,104.27,104.27,0,4,0,58,0
1,1,19078.91,19078.91,0,1,8,67,0
2,2,3005.5,3005.5,0,9,0,48,0
2,3,258594.71,508836.83,0,4,0,53,1
1,6,120293.13,120293.13,0,37,3,49,0
2,1,20291.63,20291.63,0,1,4,47,0
2,2,58352.59,58352.59,0,2,0,58,0
1,8,62398.21,62398.21,0,11,3,48,0
2,1,1011.71,1011.71,0,1,0,56,0
1,6,7506.4,7506.4,0,11,3,54,0
1,5,3691.56,3691.56,0,7,3,56,0
1,2,138364.99,138364.99,0,9,8,65,0
1,3,1159452.68,1159452.68,2452204.75,3,0,50,0
1,4,821.85,821.85,0,7,3,58,0
2,4,93863.06,93863.06,0,6,0,54,0
1,1,24765.47,24765.47,0,1,0,53,0
1,4,3226.03,3226.03,0,4,0,64,0
1,2,31192.31,31192.31,806645.28,3,8,50,0
1,15,10365027.55,10841952.24,0,57,8,65,1
2,2,43516.8,43516.8,0,11,0,65,0
2,6,3801.77,27664.7,0,33,0,42,0
1,8,43284.99,1298815.42,0,79,3,57,1
1,6,1909.2,1909.2,0,6,4,51,0
1,1,927.78,927.78,0,1,0,60,0
1,2,30602.17,30602.17,0,3,0,57,0
2,2,12426.63,12426.63,0,2,2,38,0
2,5,30664.71,201640.98,0,6,0,43,1
1,1,31628.03,31628.03,0,1,0,55,0
2,4,159131.25,159131.25,0,5,3,49,0
1,2,3375.73,3375.73,0,2,0,44,0
1,1,2144.42,2144.42,0,1,0,114,0
2,7,669.5,669.5,0,15,8,62,0
2,10,129210.55,129210.55,0,13,5,42,0
1,11,10633524.56,10633524.56,0,23,3,61,0
1,1,10656.15,10656.15,0,1,8,33,0
2,1,131040.83,131040.83,0,1,0,45,0
2,2,166.32,166.32,0,2,0,55,0
2,1,4403.04,4403.04,0,1,8,36,0
2,1,390000,390000,0,2,0,56,0
2,18,244950.12,244950.12,0,47,8,57,0
1,2,704741.17,704741.17,3716033.33,2,1,47,0
2,5,1100209.3,1100209.3,0,35,3,71,0
2,23,4548.91,4548.91,0,48,8,32,0
2,2,93313.45,93313.45,0,4,0,45,0
2,4,43253.5,43253.5,0,8,0,52,0
2,5,12807.37,12807.37,0,22,4,35,0
2,2,6185.93,6185.93,0,8,0,59,0
1,1,17409.49,17409.49,0,2,0,44,0
2,3,8722.34,8722.34,0,5,0,59,0
1,1,1993.17,1993.17,0,4,8,41,0
2,2,0.5,0.5,0,3,3,57,0
2,3,5935.04,5935.04,0,4,0,57,0
2,1,5519.72,5519.72,0,1,8,53,0
2,1,1371.8,1371.8,0,1,0,56,0
2,2,3724.97,3724.97,0,2,0,38,0
2,11,1185.99,436824.22,0,26,8,46,1
2,1,871.13,871.13,0,1,0,62,0
1,5,26.2,26909.36,0,37,8,57,0
1,1,1117.33,1117.33,0,2,0,51,0
1,1,861.92,861.92,413474.13,1,0,53,0
1,4,13354.07,834038.43,0,4,8,55,1
2,1,7048.78,7048.78,0,11,8,56,0
2,4,30092.47,110285.25,0,8,8,56,1
1,3,37614.78,37614.78,0,7,3,33,0
2,5,767.74,767.74,0,6,0,40,0
2,9,3086500.65,7947348.5,0,78,6,35,1
2,2,10660.56,10660.56,0,10,0,57,0
2,1,530.74,530.74,0,1,0,57,0
2,5,74503.68,849969.01,0,7,4,43,1
1,2,124572.73,124572.73,0,2,0,18,0
2,1,1578.77,1578.77,0,1,0,35,0
1,1,1061.59,1061.59,195471.21,1,2,34,0
1,1,992.05,992.05,0,1,4,38,0
1,2,16995.79,16995.79,0,2,0,35,0
1,1,2588.11,2588.11,0,2,8,33,0
1,0,0,0,0,3,0,39,0
2,10,35625.02,312882.52,0,17,3,59,1
2,2,72822.61,72822.61,0,2,0,34,0
1,2,532.89,532.89,0,2,0,46,0
2,1,533.48,533.48,0,1,0,42,0
1,1,518.41,518.41,0,1,0,47,0
1,1,624.81,624.81,0,1,0,45,0
1,5,3082.79,3082.79,0,5,3,44,0
1,1,1357.61,1357.61,0,1,0,59,0
2,20,194234.72,552203.92,0,48,0,57,1
1,21,101734.01,125809.01,0,154,2,43,0
1,1,6057.66,6057.66,0,2,0,44,0
2,1,1140.33,1140.33,1698112.57,1,4,43,0
2,1,5.38,5.38,0,3,1,48,0
1,13,25072.14,25072.14,0,28,8,27,0
1,2,169.2,169.2,0,4,3,42,0
1,2,1085.03,1085.03,0,2,0,49,0
2,5,8547.89,211337.89,0,21,3,51,1
2,3,138567.54,168585.29,0,9,3,43,1
2,9,49782.68,481659.73,0,30,8,68,1
1,2,4651.57,4651.57,1607690.37,2,1,38,0
2,8,3280.6,3280.6,0,8,0,56,0
2,1,1198.82,1198.82,0,4,0,69,0
2,3,108533.93,108533.93,0,6,0,50,0
2,7,132762.85,199502.39,0,21,0,53,1
1,1,10.67,25045.27,0,1,0,36,0
1,15,1120176.37,1120176.37,0,21,3,52,0
1,1,3015.66,17835.66,0,1,3,55,0
1,1,53.13,53.13,0,1,0,35,0
2,11,56237.59,308307.35,0,47,0,57,1
1,5,2.32,2.32,0,65,0,47,0
2,1,1081.7,1081.7,0,1,0,44,0
2,3,25608,25608,0,15,0,41,0
2,12,82.27,82.27,0,23,0,50,0
2,12,107982.2,228408.67,0,26,0,39,1
2,4,3713.6,3713.6,0,5,0,31,0
1,2,62.39,261264.4,0,2,0,36,1
1,1,1049.31,1049.31,0,1,0,55,0
1,8,17785.87,17785.87,0,22,8,48,0
2,8,24454.68,24454.68,0,17,4,33,0
2,2,1668.58,1668.58,0,4,4,32,0
1,1,396.08,3348.08,0,1,3,37,0
1,3,33326.59,33326.59,0,6,0,33,0
1,2,312255.06,312255.06,3002175,2,3,42,0
2,15,3812.89,3812.89,0,64,3,53,0
1,1,814.04,814.04,0,4,0,36,0
1,1,986.26,986.26,0,1,3,34,0
2,11,76113.87,217593.55,0,34,8,55,1
2,1,748.73,748.73,0,1,0,31,0
1,3,738.03,738.03,0,3,8,37,0
2,7,1427.08,528081.87,0,42,3,51,1
1,4,984.02,6736.97,0,4,4,32,0
1,1,74256.17,74256.17,0,1,6,51,0
1,5,9566.03,9566.03,0,8,8,32,0
1,1,30107.46,30107.46,0,1,3,44,0
2,5,628.8,604090.72,0,5,8,37,1
1,13,3071230.1,3197853.39,0,66,4,38,1
2,2,5003.52,5003.52,0,2,0,39,0
2,2,300.3,100786.4,0,3,0,57,0
2,2,3832.91,3832.91,0,7,0,114,0
2,9,45683.65,69697.59,0,17,0,54,1
1,1,32212.16,32212.16,0,1,0,52,0
1,3,12232.48,70380.26,0,4,8,60,1
2,5,30184.06,581921.65,0,7,0,45,1
2,6,87133.22,590686.44,0,52,8,40,1
2,1,713.22,713.22,129076.24,1,4,45,0
2,11,3268.82,3268.82,0,23,3,44,0
2,3,30000,30000,0,3,8,50,0
2,6,7774.93,208828.84,0,11,3,37,1
2,1,1387.09,1387.09,0,1,0,56,0
1,4,12051.75,12051.75,0,8,0,38,0
1,2,963.19,963.19,0,2,0,37,0
2,8,265834.79,265834.79,0,24,0,38,0
2,5,44367.93,44367.93,0,10,0,33,0
1,1,5003.46,5003.46,0,1,0,35,0
1,6,125941.35,125941.35,0,18,8,35,0
1,1,13225.72,13225.72,0,1,4,35,0
1,1,1590.43,1590.43,225157.14,1,3,35,0
1,3,4193.95,4193.95,0,3,8,35,0
2,2,5140.16,25368.2,0,2,0,47,1
2,4,9499.83,662955.91,0,5,3,59,1
1,3,2817155.39,2817155.39,0,4,8,57,0
1,7,1397.2,1397.2,0,11,8,34,0
2,3,677.06,677.06,0,7,0,42,0
2,9,478495.7,478495.7,4119957.5,43,1,51,0
2,2,24848.84,24848.84,0,5,0,62,0
2,4,1140.29,1140.29,0,12,0,51,0
1,3,32366.78,32366.78,0,3,4,33,0
2,1,5340.34,5340.34,0,1,0,38,0
2,1,60.23,151367.08,0,2,8,64,1
2,4,3495.75,154169.55,0,4,4,47,1
2,1,633.05,633.05,0,2,0,49,0
1,10,42574.22,237276.19,0,26,0,70,1
1,16,4691.78,19714.06,138749.33,20,2,48,0
1,13,31635.03,1927765.31,0,26,3,56,1
2,1,100000,100000,0,9,0,46,0
1,1,3437.06,3437.06,0,1,6,43,0
1,12,120378.77,2534971.96,0,62,3,40,1
1,3,4263.11,4263.11,442097.33,3,8,38,0
2,1,2230.39,2230.39,240615.33,1,8,35,0
2,2,572083.66,572083.66,0,2,0,46,0
1,1,860.29,860.29,0,1,4,50,0
2,7,251252.63,323550.44,0,7,0,44,1
1,8,553.96,553.96,0,9,0,37,0
1,4,14926.07,14926.07,0,4,3,44,0
1,2,6092.65,6092.65,0,9,0,34,0
2,3,37237.69,37237.69,0,3,3,42,0
2,1,1773.62,1773.62,0,2,4,39,0
1,4,19638.58,19638.58,0,5,8,50,0
2,2,1852.95,1852.95,0,2,8,38,0
1,1,2966.53,2966.53,85687.98,1,8,53,0
1,2,2964.06,2964.06,0,2,8,46,0
1,3,11611.4,11611.4,0,8,8,57,0
1,1,454.77,454.77,0,1,8,59,0
2,3,3335.34,3335.34,0,7,3,33,0
2,2,7161.64,7161.64,0,2,3,43,0
2,1,3340.46,3340.46,1004181.67,1,8,41,0
2,2,100025.23,100025.23,0,10,0,72,0
1,1,529.62,529.62,0,1,0,45,0
1,3,915.21,915.21,0,3,3,53,0
1,1,836.42,836.42,0,1,0,51,0
2,4,130834.01,232091.54,0,5,4,47,1
2,2,2329,2329,324807.76,2,8,33,0
2,10,56394.48,56394.48,0,12,0,57,0
2,3,1032.61,1032.61,0,5,0,42,0
1,3,41535.45,41535.45,0,7,3,58,0
2,2,10484.8,10484.8,0,2,8,34,0
1,8,8268.14,8268.14,44332.1,12,3,37,0
1,4,3609.9,3609.9,0,16,8,54,0
2,1,27.85,27.85,0,1,0,51,0
1,16,313850.57,1719265.38,0,50,4,75,1
2,1,54.17,54.17,0,2,0,41,0
2,2,15374.37,196147.27,0,6,0,36,1
1,3,20415.88,20415.88,915974.16,3,1,44,0
2,11,176286.3,176286.3,0,43,3,59,0
1,0,11.78,11.78,0,3,0,62,0
2,8,772.73,84803.26,0,11,0,52,0
2,3,9826.56,214369.71,0,4,8,54,1
1,4,14022.53,14022.53,0,5,6,35,0
2,23,405664.73,862026.26,0,74,8,40,1
1,1,15461.02,15461.02,0,1,0,33,0
1,9,254.35,45061.42,0,20,8,77,0
2,1,1989.47,1989.47,501462.5,1,0,40,0
2,3,1513.99,19769.74,0,3,0,49,0
2,2,2585.93,2585.93,0,2,1,64,0
1,11,155770.78,160148.29,0,28,8,52,1
1,2,13221.97,13221.97,0,5,0,72,0
1,3,1721.02,1721.02,0,3,0,41,0
2,5,6976.94,6976.94,0,12,8,72,0
1,7,361978.63,361978.63,0,45,1,37,0
1,1,3.37,100551.32,0,4,3,75,1
2,2,39482.76,39482.76,0,2,8,48,0
1,3,451,49987.25,0,3,0,70,0
1,1,5554.6,5554.6,0,1,8,49,0
2,18,113301.37,10797765.74,0,50,3,45,1
1,1,2415.56,2415.56,0,1,0,46,0
1,13,272909.18,806913.28,0,29,1,48,1
2,1,1215.9,1215.9,0,1,0,43,0
1,3,10338.28,370463.31,0,9,6,57,1
2,1,16351.21,16351.21,0,1,0,37,0
2,18,105976.84,418178.08,0,86,3,49,1
2,3,11465.78,11465.78,0,13,8,59,0
2,7,49042.15,49042.15,0,9,0,44,0
1,2,36917.51,36917.51,0,3,0,48,0
2,1,1.97,1.97,0,2,0,84,0
1,2,6000,6000,0,4,0,40,0
2,1,19.06,19.06,0,2,0,65,0
2,1,3118.98,3118.98,0,1,0,34,0
2,9,3196.41,3196.41,0,9,3,38,0
1,16,499814.35,499814.35,0,57,3,58,0
2,8,107677.31,894889.72,0,15,8,56,1
1,2,209.99,209.99,0,2,0,70,0
1,3,48306.7,48306.7,2004333.33,3,8,41,0
1,4,125895.64,125895.64,0,6,6,45,0
1,1,20078.95,20078.95,0,2,8,50,0
1,1,1829.18,1829.18,0,1,8,34,0
1,3,29630.81,485173.17,0,6,3,47,1
2,3,5036.16,5036.16,0,6,1,60,0
2,8,250581.86,290993.03,0,13,8,67,0
2,8,698.3,698.3,500710,16,8,43,0
2,2,31.04,31.04,0,3,0,37,0
1,2,9131.3,9131.3,0,3,6,56,0
2,3,7181.1,13690.27,0,4,0,38,0
2,1,1393.5,1393.5,0,1,0,35,0
2,1,1817.94,1817.94,0,1,0,40,0
2,1,3082.41,3082.41,0,1,0,37,0
1,1,346.23,50792.6,0,2,0,45,1
2,7,6843.87,153843.72,0,15,8,53,1
2,1,1863.14,103730.95,0,1,0,61,1
1,2,3651.09,144774.37,0,3,0,53,1
2,3,20000.4,29044.58,0,20,0,59,0
2,0,0,10000,0,0,0,76,0
2,3,230140.65,681635.15,0,3,4,32,1
2,9,260876.03,260876.03,0,31,0,31,0
2,5,4630.94,4630.94,0,33,8,30,0
2,4,5650.32,5650.32,0,8,8,32,0
2,3,41305.3,41305.3,0,9,0,32,0
2,2,34406.19,323670.09,0,2,3,32,1
1,2,8692.43,8692.43,0,3,2,32,0
1,4,4485.38,4485.38,0,5,8,32,0
1,3,5546.22,5546.22,0,4,0,32,0
2,1,1083,1083,0,1,4,33,0
1,1,608.52,608.52,0,2,0,34,0
1,3,26745.38,26745.38,0,4,2,32,0
2,6,8416.14,8416.14,1181721.58,7,8,32,0
2,2,77036.02,77036.02,0,2,6,31,0
2,3,290.23,290.23,0,3,0,31,0
1,2,2887.29,2887.29,585479.89,2,0,31,0
1,1,6546.84,6546.84,0,1,4,31,0
2,1,716.29,716.29,0,1,3,53,0
2,5,132261.94,132261.94,0,17,0,74,0
1,7,880.32,880.32,0,12,4,42,0
1,1,12809.88,12809.88,0,2,3,38,0
